id,question 1,question 2,label
44,Không ghi đầy đủ biển hiệu của trạm nạp khí vào phương tiện vận tải phạt bao nhiêu?,Kinh doanh mua bán khí mà chai LPG không đủ điều kiện lưu thông bị phạt bao nhiêu?,0
45,Kinh doanh mua bán khí mà chai LPG không đủ điều kiện lưu thông bị phạt bao nhiêu?,Đưa vào lưu thông chai LPG thuộc sở hữu không đáp ứng đủ điều kiện lưu thông bị phạt bao nhiêu?,1
46,Kinh doanh mua bán khí mà chai LPG không đủ điều kiện lưu thông bị phạt bao nhiêu?,Đưa vào lưu thông chai LPG thuộc sở hữu không đáp ứng đủ điều kiện lưu thông bị phạt bao nhiêu tiền?,1
47,Vẫn được mở quán karaoke trong khu vực nhà chung cư?,Vẫn được mở quán karaoke trong khu vực nhà chung cư?,1
48,Vẫn được mở quán karaoke trong khu vực nhà chung cư?,Nhà hàng karaoke trong khu chung cư?,1
49,Vẫn được mở quán karaoke trong khu vực nhà chung cư?,Có được phép kinh doanh tại chung cư không?,0
50,Vẫn được mở quán karaoke trong khu vực nhà chung cư?,Có được mở quán bar ở tòa nhà chung cư hay không?,0
51,Chung cư có được phép đăng ký hộ kinh doanh?,Có được phép kinh doanh tại chung cư không?,0
52,Vẫn được mở quán karaoke trong khu vực nhà chung cư?,Cá nhân có được kinh doanh dịch vụ karaoke không?,0
53,Cá nhân có được kinh doanh dịch vụ karaoke không?,Điều kiện kinh doanh karaoke?,0
54,Có được phép kinh doanh tại chung cư không?,Có được sử dụng căn hộ chung cư để hoạt động kinh doanh hay không?,1
55,Sự kiện nào thì công ty đại chúng buộc phải công bố thông tin bất thường trong lĩnh vực chứng khoán?,Sự kiện nào thì công ty đại chúng buộc phải công bố thông tin bất thường trong lĩnh vực chứng khoán?,1
56,Sự kiện nào thì công ty đại chúng buộc phải công bố thông tin bất thường trong lĩnh vực chứng khoán?,Công ty đầu tư chứng khoán đại chúng công bố thông tin bất thường trong trường hợp nào?,0
57,Công ty đầu tư chứng khoán đại chúng công bố thông tin bất thường trong trường hợp nào?,Công ty chứng khoán phải công bố thông tin bất thường trong những trường hợp nào?,1
58,Sự kiện nào thì công ty đại chúng buộc phải công bố thông tin bất thường trong lĩnh vực chứng khoán?,Công ty đại chúng phải công bố thông tin bất thường trong trường hợp nào?,1
59,Sự kiện nào thì công ty đại chúng buộc phải công bố thông tin bất thường trong lĩnh vực chứng khoán?,Công ty quản lý quỹ đầu tư chứng khoán công bố thông tin bất thường về quỹ đại chúng trong trường hợp nào?,0
60,Sự kiện nào thì công ty đại chúng buộc phải công bố thông tin bất thường trong lĩnh vực chứng khoán?,Tổ chức niêm yết trái phiếu doanh nghiệp công bố thông tin bất thường trong trường hợp nào?,0
61,Công ty đại chúng quy mô lớn là gì?,Công ty đại chúng quy mô lớn là gì?,1
62,Công ty đại chúng quy mô lớn là gì?,Công ty đại chúng là gì?,0
63,Công ty đại chúng quy mô lớn là gì?,Công ty nào được xem là công ty đại chúng?,0
64,Công ty đại chúng quy mô lớn là gì?,Công ty đại chúng được tổ chức theo mô hình nào?,0
65,Công ty đại chúng quy mô lớn là gì?,Công ty cổ phần có phải là công ty đại chúng không?,0
66,Cách xác định ngày thực hiện giao dịch chứng khoán?,Cách xác định ngày thực hiện giao dịch chứng khoán?,1
67,Cách xác định ngày thực hiện giao dịch chứng khoán?,Ngày công bố thông tin trên thị trường chứng khoán là ngày nào?,0
68,Cách xác định ngày thực hiện giao dịch chứng khoán?,Giao dịch trong ngày trên thị trường chứng khoán được quy định như thế nào?,0
69,Cách xác định ngày thực hiện giao dịch chứng khoán?,Giao dịch chứng khoán trong ngày là gì?,0
70,Cách xác định ngày thực hiện giao dịch chứng khoán?,Ngày hoàn tất giao dịch chứng khoán được xác định như thế nào?,0
71,Tổ thẩm định lựa chọn nhà thầu có bao nhiêu thành viên?,Tổ thẩm định lựa chọn nhà thầu có bao nhiêu thành viên?,1
72,Tổ thẩm định lựa chọn nhà thầu có bao nhiêu thành viên?,Hội đồng thẩm định dự án PPP gồm những người nào?,0
73,Tổ thẩm định lựa chọn nhà thầu có bao nhiêu thành viên?,Tổ chuyên gia đánh giá hồ sơ dự thầu được quy định như thế nào,0
74,Tổ thẩm định lựa chọn nhà thầu có bao nhiêu thành viên?,Thành viên tham gia tổ thẩm định hồ sơ dự thầu cần phải đáp ứng những điều kiện gì?,0
75,Xin cắt hộ nghèo gửi đơn đến cơ quan nào?,Xin cắt hộ nghèo gửi đơn đến cơ quan nào?,1
76,Xin cắt hộ nghèo gửi đơn đến cơ quan nào?,Công chức xã xin thôi việc gửi đơn đến cơ quan nào?,0
77,Xin cắt hộ nghèo gửi đơn đến cơ quan nào?,Hỏi về chính sách nhập khẩu hộ nghèo,0
78,Xin cắt hộ nghèo gửi đơn đến cơ quan nào?,Xin giấy xác nhận gia đình có hoàn cảnh khó khăn bằng cách nào?,0
79,Quy định về lệ phí thi sát hạch bằng lái xe A1,Phí sát hạch lái xe đối với giấy phép lái xe hạng A1,1
80,Quy định về lệ phí thi sát hạch bằng lái xe A1,Quy định về lệ phí thi sát hạch bằng lái xe A1,1
81,Quy định về lệ phí thi sát hạch bằng lái xe A2,Lệ phí thi bằng lái mô tô bằng A1,0
82,Quy định về lệ phí thi sát hạch bằng lái xe A3,Điều kiện mở lớp đào tạo bằng lái xe A1,0
83,Đi nghĩa vụ công an thì cần nộp những giấy tờ gi?,Đi nghĩa vụ công an thì cần nộp những giấy tờ gi?,1
84,Đi nghĩa vụ công an thì cần nộp những giấy tờ gi?,Muốn đi nghĩa vụ công an thì cần có những giấy tờ gì?,1
85,Đi nghĩa vụ công an thì cần nộp những giấy tờ gi?,Cần đáp ứng những điều kiện gì để được đi nghĩa vụ công an?,0
86,Đi nghĩa vụ công an thì cần nộp những giấy tờ gi?,Đăng ký nghĩa vụ công an ở đâu?,0
87,Đi nghĩa vụ công an thì cần nộp những giấy tờ gi?,Hồ sơ đi nghĩa vụ công an theo quy định hiện hành,0
88,"Chi cục Hải quan quản lý cửa hàng miễn thuế, kho chứa hàng miễn thuế có trách nhiệm gì?","Chi cục Hải quan quản lý cửa hàng miễn thuế, kho chứa hàng miễn thuế có trách nhiệm gì?",1
89,"Chi cục Hải quan quản lý cửa hàng miễn thuế, kho chứa hàng miễn thuế có trách nhiệm gì?","Trách nhiệm của Chi cục Hải quan quản lý cửa hàng miễn thuế, kho chứa hàng miễn thuế",1
90,"Chi cục Hải quan quản lý cửa hàng miễn thuế, kho chứa hàng miễn thuế có trách nhiệm gì?",Trách nhiệm của Cục Giám sát quản lý Hải quan trong quản lý doanh nghiệp kinh doanh cửa hàng miễn thuế,0
91,"Chi cục Hải quan quản lý cửa hàng miễn thuế, kho chứa hàng miễn thuế có trách nhiệm gì?",Trách nhiệm của Cục Công nghệ thông tin và thống kê Hải quan trong quản lý doanh nghiệp kinh doanh cửa hàng miễn thuế,0
92,"Chi cục Hải quan quản lý cửa hàng miễn thuế, kho chứa hàng miễn thuế có trách nhiệm gì?","Trách nhiệm của Cục Hải quan các tỉnh, thành phố có cửa hàng kinh doanh miễn thuế",0
93,"Chi cục Hải quan quản lý cửa hàng miễn thuế, kho chứa hàng miễn thuế có trách nhiệm gì?",Trách nhiệm của cơ quan hải quan trong việc kiểm tra hồ sơ xét miễn thuế do người nộp thuế khai và xử lý là gì?,0
94,"Chi cục Hải quan quản lý cửa hàng miễn thuế, kho chứa hàng miễn thuế có trách nhiệm gì?",Trách nhiệm của cơ quan hải quan đối với Danh mục miễn thuế nhập khẩu,0
95,24 tuổi có được tham gia dự tuyển vào trường quân đội hay không?,Người 22 tuổi có thể đăng ký thi khối ngành quân đội hay không?,0
96,24 tuổi có được tham gia dự tuyển vào trường quân đội hay không?,24 tuổi có được tham gia dự tuyển vào trường quân đội hay không?,1
97,Có được đỗ ô tô tại đường một chiều hay không?,Có được đỗ ô tô tại đường một chiều hay không?,1
98,Có được đỗ ô tô tại đường một chiều hay không?,"Có được dừng xe, đỗ xe bên trái đường một chiều hay không?",0
99,Có được đỗ ô tô tại đường một chiều hay không?,"Có được dừng xe, đỗ xe nơi đường giao nhau hay không?",0
100,Có được đỗ ô tô tại đường một chiều hay không?,"Có được dừng xe, đỗ xe trên song song với một xe khác đang dừng, đỗ hay không?",0
101,Có bắt buộc xuất trình bản chính giấy đăng ký xe khi đi đăng kiểm?,Có bắt buộc xuất trình bản chính giấy đăng ký xe khi đi đăng kiểm?,1
102,Có bắt buộc xuất trình bản chính giấy đăng ký xe khi đi đăng kiểm?,Giấy đăng ký xe sao y bản chính tham gia giao thông có được coi là hợp lệ?,0
103, Tổ chuyên môn trong Trường Mầm non được quy định nhưTổ chuyên môn tại trường mầm non được quy định như thế nào? thế nào?,,1
104,Thành phần hội đồng trường mẫu giáo bao gồm những ai?,"Thành phần Hội đồng trường của nhà trẻ, trường mẫu giáo, trường mầm non dân lập",0
105,Ảnh dán trên giấy khám sức khỏe nền trắng hay nền xanh?,Hồ sơ khám sức khỏe gồm những giấy tờ gì?,0
106,Hồ sơ khám sức khỏe gồm những giấy tờ gì?,Đi khám sức khỏe phải mang giấy tờ gì?,1
107,Hồ sơ khám sức khỏe gồm những giấy tờ gì?,Thủ tục khám sức khỏe,0
108,Giảng viên đại học thì phải có bằng thạc sĩ?,Có bằng thạc sĩ đã đủ điều kiện làm giáo viên THPT?,0
109,Giảng viên đại học thì phải có bằng thạc sĩ?,Bằng thạc sỹ có được làm giảng viên đại học?,1
110,Giảng viên đại học thì phải có bằng thạc sĩ?,Thạc sĩ có được hướng dẫn luận văn thạc sĩ hay không?,0
111,Nguyên tắc tham gia giao thông khi thấy tín hiệu của các xe được quyền ưu tiên,Trách nhiệm của người tham gia giao thông đường bộ khi gặp xe được quyền ưu tiên là gì?,0
112,Nguyên tắc tham gia giao thông khi thấy tín hiệu của các xe được quyền ưu tiên,Trách nhiệm của người tham gia giao thông đường bộ khi gặp xe được quyền ưu tiên là gì?,0
113,Nguyên tắc tham gia giao thông khi thấy tín hiệu của các xe được quyền ưu tiên,Thứ tự đường ưu tiên khi tham gia giao thông trên đường bộ được quy định thế nào?,0
114,Thứ tự ưu tiên của hiệu lệnh giao thông,Tín hiệu của xe được quyền ưu tiên trong giao thông đường bộ,0
115,Tốc độ cho phép đối với xe cứu thương khi đi làm nhiệm vụ là bao nhiêu?,Thế nào là xe cứu thương đang thực hiện nhiệm vụ cấp cứu?,0
116,Tốc độ cho phép đối với xe cứu thương khi đi làm nhiệm vụ là bao nhiêu?,Tín hiệu của xe cứu thương đang thực hiện nhiệm vụ cấp cứu là gì?,0
117,Tốc độ cho phép đối với xe cứu thương khi đi làm nhiệm vụ là bao nhiêu?,Tốc độ cho phép đối với xe cứu thương khi đi làm nhiệm vụ là bao nhiêu?,1
118,Xe ô tô cứu thương được sử dụng cho những mục đích gì?,Xe ô tô cứu thương được sử dụng như thế nào?,1
119,Có phải công khai kế hoạch đào tạo của trên trang thông tin điện tử của nhà trường không?,Các thông tin khác cần công khai trên trang thông tin điện tử của trường đại học gồm thông tin gì?,0
120,Các thông tin khác cần công khai trên trang thông tin điện tử của trường đại học gồm thông tin gì?, Thông tin công khai trên cổng thông tin điện tử đối với trường đại học gồm thông tin nào?,0
121,Có phải công khai kế hoạch đào tạo của trên trang thông tin điện tử của nhà trường không?,Nguyên tắc cung cấp thông tin lên trang thông tin điện tử của trường đại học,0
122,Có phải công khai kế hoạch đào tạo của trên trang thông tin điện tử của nhà trường không?,"Công khai trên trang thông tin điện tử của trường đại học các thông tin về niên giám, thống kê giáo dục gồm những gì?",0
123,Một học phần có tối đa mấy tín chỉ?,Số tín chỉ tối thiểu một kỳ học là bao nhiêu?,0
124,Một học phần có tối đa mấy tín chỉ?,Một học phần có tối đa mấy tín chỉ?,1
125, Sinh viên có được học cùng lúc hai chương trình không?,Điều kiện và thời gian tối đa để sinh viên học cùng một lúc hai chương trình như thế nào?,0
126, Sinh viên có được học cùng lúc hai chương trình không?,"Học cùng lúc hai chương trình đối với sinh viên đại học, cao đẳng được quy định như thế nào?",1
127,Thời gian đào tạo trình độ thạc sĩ tối đa là mấy năm?,Thời gian đào tạo đại học là bao lâu?,0
128,Bị sẩy thai có phải đóng đủ 6 tháng bảo hiểm mới được hưởng chế độ không?,Đóng liên tục đủ 6 tháng bảo hiểm xã hội mới được hưởng chế độ thai sản?,1
129,"Đóng BHXH 6 tháng, có được hưởng chế độ thai sản?",Đóng bảo hiểm vừa đủ 6 tháng có được hưởng chế độ thai sản?,1
130,Đóng liên tục đủ 6 tháng bảo hiểm xã hội mới được hưởng chế độ thai sản?,Đóng bảo hiểm vừa đủ 6 tháng có được hưởng chế độ thai sản?,1
131,Đóng đủ 6 tháng BHXH liên tục thì mới được hưởng chế độ thai sản?,Bị sẩy thai có phải đóng đủ 6 tháng bảo hiểm mới được hưởng chế độ không?,1
132,Trong mọi trường hợp CSGT đều phải chào điều lệnh khi dừng xe người vi phạm giao thông?,CSGT có được kiểm tra hành chính?,0
133,Nhiệm vụ chỉ huy chữa cháy theo quy định mới,Người chỉ huy chữa cháy theo quy định mới,0
134,Nhiệm vụ chỉ huy chữa cháy theo quy định mới,Nhiệm vụ của người chỉ huy chữa cháy trong công tác chữa cháy được quy định như thế nào?,0
135,Nhiệm vụ chỉ huy chữa cháy theo quy định mới,Nhiệm vụ của cán bộ tham gia chữa cháy trong công tác chữa cháy được quy định như thế nào?,0
136,Nhiệm vụ chỉ huy chữa cháy theo quy định mới,Nhiệm vụ của người chỉ huy khu vực chữa cháy trong công tác chữa cháy được quy định như thế nào?,0
137,Quy định về quy trình giải quyết thủ tục hành chính trên Hệ thống thông tin một cửa điện tử của BHXH,Quy định về trách nhiệm của các cơ quan BHXH tham gia Cổng Dịch vụ công và Hệ thống thông tin một cửa điện tử,0
138,Quy định về trách nhiệm của các cơ quan BHXH tham gia Cổng Dịch vụ công và Hệ thống thông tin một cửa điện tử,Việc cập nhật thông tin về thủ tục hành chính vào Hệ thống thông tin một cửa điện tử của bảo hiểm xã hội được quy định như thế nào?,0
139,Hiến máu lần đầu có được khen thưởng hay không?,Hiến máu lần thứ 5 có được UBND tỉnh khen thưởng hay không?,0
140,Hiến máu lần thứ 3 có được khen thưởng hay không?,Hiến máu lần đầu có được khen thưởng hay không?,0
141,Hiến máu lần đầu có được khen thưởng hay không?,Hiến máu lần thứ 20 có được tặng bằng khen?,0
142,Trẻ em 4 tuổi được đăng ký Bệnh viện Nhi nơi tạm trú hay không?,Trẻ em dưới 6 tuổi được đăng ký KCB ban đầu tại đâu?,0
143,Trường hợp nào được xin phiếu lý lịch tư pháp ở trung tâm lý lịch tư pháp quốc gia?, Thẩm quyền cấp Phiếu lý lịch tư pháp của Trung tâm lý lịch tư pháp quốc gia,0
144,Trường hợp nào được xin phiếu lý lịch tư pháp ở trung tâm lý lịch tư pháp quốc gia?,Ai có quyền yêu cầu cấp phiếu lý lịch tư pháp?,0
145,Trường hợp nào được xin phiếu lý lịch tư pháp ở trung tâm lý lịch tư pháp quốc gia?,Trường hợp nào được xin phiếu lý lịch tư pháp ở trung tâm lý lịch tư pháp quốc gia?,1
146,Đánh bạn trong lớp có bị hạnh kiểm yếu hay không?,Bị ghi trong sổ đầu bài có được hạnh kiểm tốt hay không?,0
147,Có được lên lớp không khi hạnh kiểm xếp loại yếu?,Có được lên lớp khi đạt học lực loại yếu?,0
148,Đánh bạn trong lớp có bị hạnh kiểm yếu hay không?,Học sinh sử dụng tài liệu trong giờ kiểm tra có bị hạ hạnh kiểm?,0
149,Được lưu ban tối đa bao nhiêu lần?,Học sinh được phép lưu ban tối đa bao nhiêu lần?,1
150,Được giữ chức vụ hiệu trưởng nhà trường tối đa bao nhiêu năm?,iệu trưởng trường đại học được làm tối đa bao nhiêu nhiệm kỳ?,0
151,Hiệu trưởng trường trung học phổ thông được làm tối đa bao nhiêu nhiệm kỳ?,Hiệu trưởng trường trung học phổ thông được làm tối đa bao nhiêu nhiệm kỳ?,1
152,Hiệu trưởng trường trung học phổ thông được làm tối đa bao nhiêu nhiệm kỳ?,Hiệu trưởng trường trung học cơ sở được làm tối đa bao nhiêu nhiệm kỳ?,0
153,Hiệu trưởng trường trung học phổ thông được làm tối đa bao nhiêu nhiệm kỳ?,Hiệu trưởng của một trường THPT được làm việc mấy nhiệm kỳ ở một cơ sở Giáo dục?,1
154,Khoảng cách an toàn về điện được quy định thế nào?,Khoảng cách an toàn phóng điện theo cấp điện áp được quy định như thế nào?,0
155,Có cần phải lưu giữ đơn xin gia nhập hợp tác xã của các thành viên?,Hợp tác xã bắt buộc phải có sổ đăng ký thành viên?,0
156,Thành viên hợp tác xã có bắt buộc phải góp vốn?,Trở thành thành viên của hợp tác xã phải đáp ứng điều kiện gì?,0
157,Quy định về thông tin về dịch vụ công trực tuyến của Cổng Dịch vụ công của bảo hiểm xã hội,Quy định về việc sử dụng tài khoản nộp hồ sơ trực tuyến trên Cổng Dịch vụ công của bảo hiểm xã hội,0
158,Yêu cầu của thông tin cung cấp trên Cổng Dịch vụ công của bảo hiểm xã hội,Trách nhiệm cung cấp dịch vụ công trực tuyến trên Cổng Thông tin điện tử Bảo hiểm xã hội,1
159,Quy định về thông tin về dịch vụ công trực tuyến của Cổng Dịch vụ công của bảo hiểm xã hội,Việc cung cấp thông tin các dịch vụ công trực tuyến trên Cổng Thông tin điện tử Bảo hiểm xã hội Việt Nam được quy định thế nào?,0
160,Rào chắn an toàn điện tạm thời được quy định thế nào?,Việc bảo vệ an toàn trạm điện được quy định như thế nào?,0
161,Rào chắn an toàn điện tạm thời được quy định thế nào?,Rào chắn an toàn điện tạm thời được quy định thế nào?,1
162,Không thể giải quyết cho nghỉ phép thì được thanh toán bằng tiền?,Không nghỉ hết ngày phép có được thanh toán bằng tiền?,1
163,Không thể giải quyết cho nghỉ phép thì được thanh toán bằng tiền?,Thôi việc mà chưa nghỉ phép thì được thanh toán bằng tiền,0
164,Không thể giải quyết cho nghỉ phép thì được thanh toán bằng tiền?,"Chưa nghỉ hết phép, được thanh toán thế nào?",1
165,Không thể giải quyết cho nghỉ phép thì được thanh toán bằng tiền?,Chưa nghỉ hết phép trong năm có được trả tiền không?,1
166,Không thể giải quyết cho nghỉ phép thì được thanh toán bằng tiền?,Có đòi lại tiền lương khi nghỉ việc đột xuất được không?,0
167,"Quyền, nghĩa vụ của người tham gia bảo hiểm y tế được quy định như thế nào?","Quyền, trách nhiệm của tổ chức, cá nhân đóng bảo hiểm y tế được quy định như thế nào?",1
168,"Quyền, nghĩa vụ của người tham gia bảo hiểm y tế được quy định như thế nào?","Quyền, trách nhiệm của tổ chức bảo hiểm y tế được quy định như thế nào?",0
169,"Quyền, trách nhiệm của tổ chức bảo hiểm y tế được quy định như thế nào?","Quyền, trách nhiệm của cơ sở khám bệnh, chữa bệnh bảo hiểm y tế được quy định như thế nào?",0
170,"Tổ chức, cá nhân đóng bảo hiểm y tế có trách nhiệm gì?","Mức trách nhiệm bảo hiểm trong khám, chữa bệnh quy định thế nào?",0
171,Nhiệm vụ theo chức danh của nhân viên hàng không được quy định như thế nào?,Nhân viên hàng không gồm những chức danh nào?,0
172,Chức danh nhân viên hàng không bao gồm những chức danh nào?,Nhân viên hàng không gồm những chức danh nào?,1
173,Nhân viên kiểm soát an ninh hàng không được quy định như thế nào?,Nhân viên hàng không gồm những chức danh nào?,0
174,Việc tiếp nhận yêu cầu định giá tài sản trong tố tụng hình sự được quy định như thế nào?,Hồ sơ định giá tài sản trong tố tụng hình sự được quy định như thế nào?,0
175,Tiến hành định giá tài sản trong tố tụng hình sự như thế nào?,Hồ sơ định giá tài sản trong tố tụng hình sự được quy định như thế nào?,0
176,Phong đẳng cấp trọng tài không đúng quy định có bị xử phạt không?,Phong đẳng cấp vận động viên không đúng quy định có bị xử phạt không?,0
177,Phong đẳng cấp huấn luyện viên không đúng quy định có bị xử phạt không?,Phong đẳng cấp vận động viên không đúng quy định có bị xử phạt không?,0
178,Việc đào tạo huấn luyện nghiệp vụ nhân viên hàng không được quy định ra sao?,"Giáo viên của cơ sở đào tạo, huấn luyện nghiệp vụ nhân viên hàng không được quy định như thế nào?",0
179,Việc đào tạo huấn luyện nghiệp vụ nhân viên hàng không được quy định ra sao?,"Chương trình đào tạo, huấn luyện nghiệp vụ nhân viên hàng không bao gồm những chương trình nào?",0
180,"Chương trình đào tạo, huấn luyện nghiệp vụ hàng không gồm những loại nào?","Chương trình đào tạo, huấn luyện nghiệp vụ nhân viên hàng không bao gồm những chương trình nào?",1
181,Hội đồng sát hạch nhân viên hàng không được quy định như thế nào?,Hội đồng sát hạch nhân viên hàng không được quy định như thế nào?,1
182,Hội đồng sát hạch nhân viên hàng không được quy định như thế nào?,Nhiệm vụ của Hội đồng sát hạch nhân viên hàng không được quy định như thế nào?,0
183,Nhiệm vụ của Hội đồng sát hạch nhân viên hàng không được quy định như thế nào?,Tiêu chuẩn sát hạch viên nhân viên hàng không được quy định như thế nào?,0
184,"Nơi tạm giữ tang vật, phương tiện bị tạm giữ, tịch thu theo thủ tục hành chính","Bố trí nơi tạm giữ tang vật, phương tiện bị tạm giữ, tịch thu theo thủ tục hành chính",1
